c,Test_Time(s),Date_Time,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Internal_Resistance(Ohm),AC_Impedance(Ohm),ACI_Phase_Angle(Deg),Charge_Time(s),DisCharge_Time(s),Vmax_On_Cycle(V),RUL,Charge_Efficiency,Energy_Efficiency
1,7631.37936646871,2011-01-03 12:45:07,-0.00223355391062796,3.28643226623535,0.066364062209229,0.890642398586565,0.27870203649485,3.32840601078044,0.100655436515808,0,0,1439.74611670512,5831.57135213223,4.20022678375244,49,13.42055276511851,11.942524900932844
2,21007.1764527389,2011-01-03 16:28:05,-0.001873659202829,3.32806420326233,0.946848122646608,1.75535422533358,3.8074559244476,6.55385153925926,0.103183694183826,0,0,7353.4625076757,5662.25481336626,4.20022678375244,48,1.8538920692233667,1.7213203959045482
3,34393.6229003533,2011-01-03 20:11:12,-0.00223355391062796,3.37115406990051,1.8020727234837,2.58721748624715,7.25303943151186,9.63660497803534,0.109999537467957,0,0,7578.39514774659,5447.97410037387,4.20055103302002,47,1.4356898323424137,1.32862988944576
4,47686.8974505264,2011-01-03 23:52:47,-0.00205360655672848,3.35803270339966,2.63332412858483,3.42218136614761,10.6126777187938,12.7376869643739,0.104714125394821,0,0,7465.3205464032,5467.87842789966,4.20038890838623,46,1.2995670867098,1.2002330893189153
5,60867.5593790588,2011-01-04 03:32:29,-0.00223355391062796,3.35835671424866,3.4671582683205,4.25390919403872,13.9734053228706,15.8277663062333,0.104808628559113,0,0,7373.44745344439,5447.13458917979,4.20038890838623,45,1.2269152039890363,1.132706447749542
6,73820.7893141866,2011-01-04 07:08:23,-0.00223355391062796,3.38864898681641,4.29490249307109,5.06430778453184,17.3090839742055,18.8268548790842,0.107439979910851,0,0,7285.71648314811,5307.44597117049,4.20055103302002,44,1.1791438321829242,1.0876863794260012
7,86899.0324889049,2011-01-04 10:46:23,-0.00223355391062796,3.41116595268249,5.10046718602252,5.85341071978198,20.5714159620193,21.7374017977769,0.108870983123779,0,0,7549.95162788861,5168.21147828921,4.20071315765381,43,1.1476224640407158,1.0566799017583592
8,99859.3827529029,2011-01-04 14:22:24,-0.00223355391062796,3.42072343826294,5.88769558924097,6.63063414847225,23.7647838167906,24.5999902375991,0.111208021640778,0,0,7509.59478149731,5090.69633092657,4.20071315765381,42,1.1261849475691148,1.0351447093837394
9,112744.870812447,2011-01-04 17:57:11,-0.001873659202829,3.42574501037598,6.66371319857796,7.39961753347809,26.9162529560168,27.4303941163207,0.111208021640778,0,0,7488.53183375111,5036.86780626518,4.20071315765381,41,1.1104345749839852,1.0191015131691639
10,125580.328062864,2011-01-04 21:31:08,-0.00205360655672848,3.42882299423218,7.43056735232455,8.16197934623029,30.032769729692,30.2314559698011,0.109683454036713,0,0,7481.68787977827,4993.69828693127,4.20071315765381,40,1.098432859730008,1.0066156482368214
11,138295.492609235,2011-01-05 01:03:04,-0.00241350126452744,3.4105179309845,8.19609947854899,8.93553951500074,33.1396923552914,33.0862676965564,0.108772814273834,0,0,7288.60290733263,5066.50264948721,4.20055103302002,39,1.090218528751027,0.9983878951511608
12,151003.50320706,2011-01-05 04:34:54,-0.00223355391062796,3.40792608261108,8.96986420106701,9.70942536377482,36.2750953653701,35.9446685310231,0.110197551548481,0,0,7279.34563321273,5068.61518100341,4.20055103302002,38,1.082449538379838,0.9908910829587386
13,163678.018559249,2011-01-05 08:06:10,-0.00223355391062796,3.44210624694824,9.73853395130499,10.4571341840581,39.3901662351301,38.6920251494158,0.113540858030319,0,0,7416.85376725821,4897.58834339439,4.20071315765381,37,1.0737893646360206,0.9822762594717951
14,176290.75169962,2011-01-05 11:36:24,-0.00205360655672848,3.44664216041565,10.4850203468882,11.1980294471721,42.4272992484394,41.4119630500662,0.112831503152847,0,0,7399.6419523539,4853.04377711999,4.20071315765381,36,1.06800264345653,0.9760687996559068
15,188825.657223197,2011-01-05 15:05:20,-0.00223355391062796,3.45004391670227,11.2253374531741,11.9336424287895,45.43952322826,44.1114281932854,0.112831503152847,0,0,7356.3589864476,4818.45054734446,4.20071315765381,35,1.063098769063296,0.9707722497812515
16,201292.09408159,2011-01-05 18:33:08,-0.001873659202829,3.45360779762268,11.9603576878064,12.6637301012688,48.4317561362501,46.789992334364,0.113540858030319,0,0,7324.08010758543,4782.31025547983,4.20071315765381,34,1.0588086436728803,0.966101501724046
17,213799.354592041,2011-01-05 22:01:36,-0.00223355391062796,3.44664216041565,12.6889691864737,13.3945692866991,51.4008091268936,49.4714540425425,0.110396288335323,0,0,7360.03194036692,4787.13777940457,4.20087480545044,33,1.0556073617845618,0.9624644997399149
18,226225.904680572,2011-01-06 01:28:44,-0.00223355391062796,3.43076682090759,13.423990531289,14.1362945093262,54.389353457914,52.2033093927342,0.111208021640778,0,0,7208.29222502105,4858.17367286232,4.20055103302002,32,1.0530620143374612,0.9598075004353317
19,238635.608336602,2011-01-06 04:55:35,-0.00205360655672848,3.42574501037598,14.1665273335628,14.8805842552614,57.4045425557058,54.9468533472877,0.109584547579288,0,0,7174.45256858841,4875.17767768385,4.20055103302002,31,1.0504045137446552,0.9571865030361815
20,251067.740554441,2011-01-06 08:22:48,-0.00205360655672848,3.45781946182251,14.9058781204859,15.6013298374334,60.4095531002734,57.5895732154953,0.113643236458302,0,0,7350.56678553136,4721.49720255695,4.20071315765381,30,1.0466562057817785,0.953318974565211
